,City,Country,Date,Temperature,Humidity,Clouds,Wind_Speed,Latitude,Longitude
70,Bosaso,SO,2018-12-21 08:00:00,78.80000000000001,69,0,4.6,11.28,49.18
71,Boshnyakovo,RU,2018-12-21 08:52:57,6.911599999999964,100,0,2.06,49.65,142.17
72,Bowen,AU,2018-12-21 08:00:00,78.80000000000001,94,40,2.1,-20.01,148.25
73,Bozeman,US,2018-12-21 08:15:00,31.999999999999943,55,75,2.1,45.68,-111.04
74,Brae,GB,2018-12-21 08:20:00,44.599999999999966,87,40,7.2,60.4,-1.35
75,Brawley,US,2018-12-21 07:56:00,51.079999999999984,60,1,2.6,32.98,-115.53
76,Bredasdorp,ZA,2018-12-21 08:00:00,78.80000000000001,61,32,5.1,-34.53,20.04
77,Broome,GB,2018-12-21 08:20:00,52.69999999999999,87,75,8.7,52.47,1.45
78,Buala,SB,2018-12-21 08:52:59,80.53160000000008,99,80,1.61,-8.15,159.59
79,Bubaque,GW,2018-12-21 08:52:59,86.7416,82,0,2.91,11.28,-15.83
80,Bugene,TZ,2018-12-21 08:52:59,76.84160000000003,57,32,1.46,-1.59,31.14
81,Bugiri,UG,2018-12-21 08:52:59,79.13659999999999,69,12,1.91,0.57,33.75
82,Bulgan,MN,2018-12-21 08:52:59,-3.3034000000000106,33,0,5.56,48.81,103.53
83,Buraydah,SA,2018-12-21 08:00:00,66.19999999999999,52,40,4.1,26.33,43.97
84,Burley,US,2018-12-21 07:53:00,35.960000000000036,78,90,8.2,42.54,-113.79
85,Burnie,AU,2018-12-21 08:53:00,56.77159999999998,100,0,8.41,-41.05,145.91
86,Busselton,AU,2018-12-21 08:53:00,71.75659999999999,86,0,7.46,-33.64,115.35
87,Butaritari,KI,2018-12-21 08:53:01,80.48660000000001,100,80,1.21,3.07,172.79
88,Cabinda,AO,2018-12-21 08:53:02,79.81159999999994,98,44,4.06,-5.56,12.19
89,Cabo San Lucas,MX,2018-12-21 07:53:00,60.80000000000001,67,5,2.6,22.89,-109.91
90,Cairns,AU,2018-12-21 08:30:00,82.39999999999992,83,8,2.6,-16.92,145.77
91,Calderitas,MX,2018-12-21 07:47:00,62.599999999999966,88,5,2.6,18.55,-88.26
92,Camara de Lobos,PT,2018-12-21 08:00:00,67.99999999999994,77,40,2.6,32.63,-16.97
93,Camargo,MX,2018-12-21 08:53:03,32.066599999999994,53,0,1.41,27.69,-105.17
94,Campos Belos,BR,2018-12-21 08:53:04,91.64659999999998,50,8,2.96,-13.04,-46.77
95,Cape Town,ZA,2018-12-21 08:00:00,78.80000000000001,57,0,7.2,-33.93,18.42
96,Caraquet,CA,2018-12-21 08:00:00,22.999999999999943,92,90,1.0,47.79,-64.94
97,Caravelas,BR,2018-12-21 08:53:05,80.30660000000006,100,0,7.96,-17.73,-39.27
98,Carnarvon,ZA,2018-12-21 08:53:05,89.84659999999991,8,0,6.71,-30.97,22.13
99,Carutapera,BR,2018-12-21 08:53:06,83.9966,81,68,4.11,-1.2,-46.02
100,Castro,CL,2018-12-21 08:00:00,55.39999999999992,82,90,5.1,-42.48,-73.76
101,Caxias,BR,2018-12-21 08:00:00,85.99999999999994,66,0,2.6,-4.87,-43.35
102,Caxito,BR,2018-12-21 08:00:00,87.80000000000001,62,0,7.7,-22.65,-42.51
103,Cayenne,GF,2018-12-21 08:30:00,85.99999999999994,66,88,6.7,4.94,-52.33
104,Chake Chake,TZ,2018-12-21 08:53:07,85.84160000000003,88,0,6.61,-5.25,39.77
105,Chandur Bazar,IN,2018-12-21 08:53:08,56.45660000000004,62,0,2.21,21.24,77.75
106,Channel-Port aux Basques,CA,2018-12-21 08:53:08,35.30660000000006,100,24,3.01,47.57,-59.14
107,Chara,GR,2018-12-21 07:50:00,51.799999999999955,66,40,1.01,39.42,22.43
108,Charlestown,US,2018-12-21 08:41:00,57.920000000000016,96,90,6.2,41.38,-71.64
109,Chazuta,PE,2018-12-21 08:00:00,62.599999999999966,290,75,1.11,-6.57,-76.13
110,Chernolesskoye,RU,2018-12-21 08:53:09,33.05660000000006,97,88,4.01,44.72,43.71
111,Cherskiy,RU,2018-12-21 08:53:09,-34.9384,0,36,1.21,68.75,161.3
112,Chiredzi,ZW,2018-12-21 08:51:54,83.09659999999991,62,92,6.11,-21.05,31.67
113,Chokurdakh,RU,2018-12-21 08:53:10,-25.578399999999988,39,68,3.51,70.62,147.9
114,Christchurch,NZ,2018-12-21 08:30:00,51.799999999999955,100,20,1.0,-43.53,172.64
